steps,time,reward,delta,converged
1,0.008605274803548113,1.1194551871559837,0.10622485871518939,False
2,0.014009841551375857,1.5416254545926664,5.2694626634114e-06,False
3,0.013518292908687002,1.541635584624082,5.2695084786257614e-06,False
4,0.01368543355189722,1.54163575210797,5.269508478752179e-06,False
5,0.012754523640351678,1.541635584624082,5.2695084786257614e-06,False
6,0.013452706074010834,1.54163575210797,5.269508478752179e-06,False
7,0.014397015446405703,1.541635584624082,5.2695084786257614e-06,False
8,0.013524287404329982,1.54163575210797,5.269508478752179e-06,False
9,0.013211868396139081,1.541635584624082,5.2695084786257614e-06,False
10,0.012880760666234892,1.54163575210797,5.269508478752179e-06,False
11,0.012520738310293211,1.541635584624082,5.2695084786257614e-06,False
12,0.013841290438604048,1.54163575210797,5.269508478752179e-06,True
