params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.485102091550054,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",3.944967356445055,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",3.594225890226678,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",3.656541493369911,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",3.6453113347097172,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",3.6817342428511246,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",3.668008963534078,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",4.054863739824782,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",4.362956485250891,100,8.298127277399436e-05,0.0,0.0,0.0035335689045936395,0.00048325325393549763
"{""discount_factor"": 0.9}",5.252501908541625,100,0.0009898363756017526,0.0,0.0,0.009708737864077669,0.0022161070003182447
