episode,length,time,reward,delta
0,126.0,0.009187093497985188,-26.0,100.0
1,447.0,0.0251405621070262,-1238.0,90.0
2,402.0,0.023225144441312295,-797.0,81.0
3,99.0,0.005099552704450616,1.0,72.9
4,177.0,0.01090151925200189,-176.0,65.61
5,86.0,0.004301226932057034,-85.0,59.049
6,184.0,0.011350048573149252,-84.0,53.1441
7,99.0,0.005232489461377554,1.0,47.82969
8,61.0,0.003433435533679585,39.0,43.046721
9,112.0,0.007559411622423795,-12.0,38.7420489
10,95.0,0.004829800401239481,-292.0,34.86784401
11,137.0,0.008142640786900301,-37.0,31.381059609000005
12,48.0,0.002905214681959478,52.0,28.2429536481
13,97.0,0.004999409366064356,3.0,25.41865828329
14,56.0,0.0028713634128507692,-154.0,22.876792454961006
15,79.0,0.0050403129835103755,21.0,20.589113209464898
16,108.0,0.006106980590175226,-8.0,18.530201888518405
17,49.0,0.0025857433261080587,-48.0,16.677181699666562
18,36.0,0.0019545581967577164,64.0,15.0094635296999
19,99.0,0.00665812157194523,1.0,13.50851717672991
20,51.0,0.0029048620649518853,49.0,12.157665459056915
21,32.0,0.0017754285627233912,68.0,10.94189891315122
22,88.0,0.004391496984226251,12.0,9.847709021836096
23,122.0,0.007919786596175982,-121.0,8.862938119652483
24,32.0,0.0016632962319818034,68.0,7.976644307687238
25,46.0,0.0024034401353674184,54.0,7.178979876918518
26,45.0,0.0024320021439052653,55.0,6.461081889226662
27,32.0,0.0017161888404189085,68.0,5.8149737003039945
28,66.0,0.004554053601168562,34.0,5.233476330273589
29,67.0,0.003991981480794493,-66.0,4.710128697246233
30,23.0,0.0012207614067847317,77.0,4.239115827521616
31,40.0,0.0021012470315326937,60.0,3.815204244769461
32,79.0,0.004190152454157214,21.0,3.433683820292515
33,28.0,0.0019097757885901956,72.0,3.0903154382632607
34,81.0,0.005067111905191268,19.0,2.781283894436939
35,23.0,0.0012034831543132896,77.0,2.503155504993245
36,39.0,0.002095605153044744,61.0,2.252839954493922
37,37.0,0.0019041339101022459,63.0,2.027555959044534
38,38.0,0.0019422165878495434,62.0,1.8248003631400849
39,25.0,0.001299395084970456,75.0,1.6423203268260806
40,57.0,0.004330494175519561,43.0,1.4780882941434754
41,66.0,0.003922515854355879,-65.0,1.3302794647291307
42,25.0,0.0017302935361840355,75.0,1.1972515182562233
43,44.0,0.003703893072270148,56.0,1.0775263664306038
44,39.0,0.0025515394395370095,61.0,0.9697737297875477
45,31.0,0.002447517309065006,-30.0,0.8727963568087915
46,25.0,0.001686216362486448,-24.0,0.7855167211279195
47,83.0,0.004533601792900299,17.0,0.7069650490151247
48,19.0,0.0010000229203797062,81.0,0.6362685441136193
49,14.0,0.0007803422854522069,86.0,0.5726416897022517
50,43.0,0.0022571039180547814,57.0,0.5153775207320308
51,20.0,0.001038458215589344,80.0,0.46383976865882914
52,32.0,0.0024133134220392094,68.0,0.41745579179294623
53,23.0,0.0014058855367693468,-22.0,0.37571021261365445
54,65.0,0.003753259506993345,-163.0,0.3381391913522833
55,26.0,0.0014143483545012714,74.0,0.3043252722170564
56,39.0,0.002283902839735674,61.0,0.27389274499535077
57,44.0,0.002228894526979275,-43.0,0.24650347049581
58,28.0,0.0014422051281144377,72.0,0.22185312344622332
59,54.0,0.003224686038265645,-53.0,0.19966781110160525
60,17.0,0.001009543589589157,83.0,0.179701029991449
61,21.0,0.0012609597893060709,79.0,0.1617309269923055
62,14.0,0.0008759015986470331,86.0,0.14555783429307212
63,30.0,0.001724651658150833,70.0,0.1310020508637706
64,25.0,0.0012986898500457755,75.0,0.11790184577739637
65,36.0,0.0018350209015807195,64.0,0.10611166119966242
66,17.0,0.0010070752678075223,83.0,0.0955004950796905
67,22.0,0.0011505905458761845,78.0,0.08595044557172571
68,14.0,0.0007524855118390406,86.0,0.0773554010145574
69,22.0,0.0012606071718437306,78.0,0.06961986091310735
70,29.0,0.002293070891937532,71.0,0.06265787482179519
71,30.0,0.001748629640587751,-29.0,0.05639208733961709
72,28.0,0.0021372140054154443,72.0,0.0507528786056497
73,33.0,0.0017683762143860804,67.0,0.04567759074508615
74,32.0,0.0016431970407211338,-31.0,0.0411098316705818
75,28.0,0.0015222492761495232,72.0,0.0369988485035293
76,16.0,0.0008526288511347957,84.0,0.033298963653180635
77,23.0,0.0012673069022639538,77.0,0.029969067287865414
78,23.0,0.0026061951348310686,-22.0,0.026972160559083136
79,12.0,0.0008406398592342157,88.0,0.024274944503176243
80,13.0,0.0007253339726958075,87.0,0.02184745005286004
81,19.0,0.0018096324492944404,81.0,0.01966270504757972
82,21.0,0.0013893125192225853,-20.0,0.017696434542827433
83,12.0,0.0006710308944093413,88.0,0.01592679108854611
84,17.0,0.0010973453199767391,83.0,0.01433411197969292
85,12.0,0.0007256865901581477,88.0,0.012900700781727892
86,29.0,0.0015966515452419117,71.0,0.011610630703557945
87,12.0,0.0007302706162590766,88.0,0.01044956763320215
88,13.0,0.0007179290073509037,87.0,0.009404610869879093
89,13.0,0.0007838684596208623,87.0,0.008464149782895447
90,14.0,0.0017814230577641865,86.0,0.007617734804611587
91,12.0,0.0024436385178887576,88.0,0.006855961324149007
92,13.0,0.0010909982070188562,87.0,0.006170365191735527
93,12.0,0.0007295653813343961,88.0,0.005553328672561975
94,14.0,0.0008261825464614958,86.0,0.0049979958053114615
95,14.0,0.0008043202678891248,86.0,0.00449819622477321
96,14.0,0.0010430422421450203,86.0,0.004048376602298731
97,12.0,0.0006950088768462592,88.0,0.0036435389420717
98,14.0,0.0007729373205620504,86.0,0.003279185047858846
99,12.0,0.0006703256599394081,88.0,0.0029512665430786456
100,18.0,0.0009548878942950978,82.0,0.002656139888770781
101,12.0,0.0006562209641742811,88.0,0.002390525899897966
102,12.0,0.000850513146360754,88.0,0.0021514733099081695
103,14.0,0.0011442434329183016,86.0,0.0019363259789173526
104,12.0,0.0007323863205783709,88.0,0.0017426933810327228
105,14.0,0.0007933891292850603,86.0,0.0015684240429294505
106,12.0,0.0006713835118716815,88.0,0.0014115816386350843
107,12.0,0.0008145461724780034,88.0,0.0012704234747786813
108,12.0,0.00103669512873239,88.0,0.0011433811273064975
109,12.0,0.0006593945208805962,88.0,0.0010290430145687424
110,12.0,0.0007112292769306805,88.0,0.0009261387131118681
111,12.0,0.0007680006769987813,88.0,0.000833524841794997
112,12.0,0.0015797259102328098,88.0,0.0007501723576126551
113,12.0,0.0007211025640572188,88.0,0.0006751551218542318
114,12.0,0.0006558683467119408,88.0,0.0006076396096688086
115,12.0,0.0006911300861247582,88.0,0.0005468756486948223
116,21.0,0.0011509431633385248,-20.0,0.0004921880838253401
117,28.0,0.002221489561634371,-27.0,0.0004429692754399639
118,12.0,0.0011297861201455817,88.0,0.0003986723478988097
119,12.0,0.0009235049465132761,88.0,0.0003588051131089287
120,14.0,0.0007824579897715012,86.0,0.0003229246018037202
121,16.0,0.0009961441287487105,84.0,0.0002906321416276114
122,12.0,0.0006579840510312351,88.0,0.0002615689274705346
123,12.0,0.0006583366684935754,88.0,0.00023541203472632333
124,20.0,0.0012010148329864023,80.0,0.00021187083125084882
125,12.0,0.0006738518336533161,88.0,0.0001906837481300272
126,12.0,0.0006699730424770678,88.0,0.00017161537331844556
127,13.0,0.0007048821639727976,87.0,0.00015445383598944318
128,12.0,0.0007158133030316094,88.0,0.00013900845239334103
129,12.0,0.0006844303552497877,88.0,0.0001251076071469015
130,12.0,0.0006562209641742811,88.0,0.00011259684643505352
131,12.0,0.0007112292773854278,88.0,0.00010133716179439034
132,14.0,0.0016795166320662247,86.0,9.120344562063565e-05
133,16.0,0.0015092024323166697,84.0,8.208310106283534e-05
134,12.0,0.0009704030590000912,88.0,7.38747909565518e-05
135,14.0,0.0009640559460422082,86.0,6.648731185521228e-05
136,12.0,0.0007605957116538775,88.0,5.983858066826997e-05
137,14.0,0.0007775213466629793,86.0,5.38547226085484e-05
138,17.0,0.0009111633380598505,83.0,4.846925034485139e-05
139,14.0,0.0008057307377384859,86.0,4.362232530752408e-05
140,12.0,0.0006629206945945043,88.0,3.926009277677167e-05
141,12.0,0.0007288601464097155,88.0,3.533408349198908e-05
142,12.0,0.0006551631117872603,88.0,3.180067514563234e-05
143,12.0,0.0006696204250147275,88.0,2.8620607636753448e-05
144,12.0,0.0007041769295028644,88.0,2.5758546868814847e-05
145,12.0,0.0006939510249139857,88.0,2.318269218903879e-05
146,12.0,0.0007225130334518326,88.0,2.086442296445057e-05
147,14.0,0.0008543919379917497,86.0,1.8777980670847683e-05
148,24.0,0.0028357490559756116,-23.0,1.6900182600920743e-05
149,17.0,0.0010338741894884151,-16.0,1.5210164335144327e-05
150,14.0,0.0011752737636925303,86.0,1.3689147905893151e-05
151,12.0,0.000674909686040337,88.0,1.232023311104058e-05
152,12.0,0.0006579840514859825,88.0,1.1088209802778692e-05
153,14.0,0.0007528381293013808,86.0,9.979388821079738e-06
154,12.0,0.0006565735816366214,88.0,8.981449937550678e-06
155,28.0,0.0014355053976942145,-126.0,8.083304948058867e-06
156,15.0,0.0008649704591334739,85.0,7.274974450410809e-06
157,14.0,0.0007486067206627922,86.0,6.5474769996853865e-06
158,12.0,0.0006555157292496006,88.0,5.89272930540119e-06
159,12.0,0.0006495212337540579,88.0,5.303456376282156e-06
160,12.0,0.0006498738512163982,88.0,4.773110731548513e-06
161,15.0,0.0009813341985136503,85.0,4.295799655551491e-06
162,25.0,0.0015793732927704696,-123.0,3.8662196857330855e-06
163,14.0,0.0007613009465785581,86.0,3.479597722844119e-06
164,13.0,0.0007471962508134311,87.0,3.131637953401878e-06
165,12.0,0.0008688492507644696,88.0,2.81847415806169e-06
166,14.0,0.0007630640334355121,86.0,2.5366267379922647e-06
167,12.0,0.0006555157292496006,88.0,2.2829640613508673e-06
168,12.0,0.0006498738512163982,88.0,2.0546676609001224e-06
169,12.0,0.0006523421729980328,88.0,1.8492008990733666e-06
170,12.0,0.0006830198858551739,88.0,1.6642808020606026e-06
171,16.0,0.0008533340856047289,84.0,1.4978527218545423e-06
172,12.0,0.0006516369380733522,88.0,1.3480674567745154e-06
173,12.0,0.0006534000249303062,88.0,1.2132607167814058e-06
174,29.0,0.001527185919258045,-127.0,1.0919346493665216e-06
175,22.0,0.0014929820322322485,-21.0,9.827411844298695e-07
176,27.0,0.002689412839117722,-26.0,8.844670702501389e-07
177,12.0,0.0007947995986796741,88.0,7.960203589618686e-07
178,12.0,0.0009065793115041743,88.0,7.164183273289382e-07
179,12.0,0.0007965626855366281,88.0,6.447764917538734e-07
180,12.0,0.0006809041815358796,88.0,5.80298845420657e-07
181,18.0,0.0010356372768001165,82.0,5.222689622996768e-07
182,12.0,0.0006611576077375503,88.0,4.700420674907946e-07
183,12.0,0.0006960667292332801,88.0,4.230378607417151e-07
184,12.0,0.0006562209641742811,88.0,3.807340789308e-07
185,12.0,0.0006541052598549868,88.0,3.4266066961663455e-07
186,12.0,0.0006911300856700109,88.0,3.0839460407605657e-07
187,14.0,0.0007623587989655789,86.0,2.775551450895364e-07
188,12.0,0.0006558683471666882,88.0,2.4979962631732633e-07
189,23.0,0.0011939624851038388,-22.0,2.248196580012518e-07
190,14.0,0.0017835387620834808,86.0,2.0233768793787021e-07
191,16.0,0.0009326729987151339,84.0,1.8210391772299772e-07
192,14.0,0.0010053121809505683,86.0,1.6389353163503984e-07
193,12.0,0.0009700504419924982,88.0,1.475041813137068e-07
194,12.0,0.0009979072156056645,88.0,1.32753768866678e-07
195,14.0,0.0007665902076041675,86.0,1.1947838629566832e-07
196,12.0,0.0006576314335688949,88.0,1.0753055335044337e-07
197,13.0,0.0007087609556037933,-12.0,9.677749801539903e-08
198,12.0,0.0006516369380733522,88.0,8.70997496349446e-08
199,14.0,0.0007553064510830154,86.0,7.838977467145014e-08
200,12.0,0.0006611576077375503,88.0,7.055079720430513e-08
201,13.0,0.0008674387809151085,87.0,6.349571890496009e-08
202,23.0,0.0012175878500784165,-22.0,5.714615269880596e-08
203,18.0,0.0012669542848016135,-17.0,5.143154169218178e-08
204,12.0,0.0008032624164115987,88.0,4.628839178622002e-08
205,12.0,0.000997201980680984,88.0,4.165954692325613e-08
206,12.0,0.0009471303114878538,88.0,3.749359223093052e-08
207,12.0,0.0008695544856891502,88.0,3.374422874458105e-08
208,18.0,0.0010299953983121668,-17.0,3.0369804449037474e-08
209,13.0,0.000740143903385615,87.0,2.733281689870637e-08
210,12.0,0.0006523421729980328,88.0,2.4599529524493846e-08
211,12.0,0.0006505790861410787,88.0,2.213957372987352e-08
212,12.0,0.0006967719641579606,88.0,1.9925622041228053e-08
213,27.0,0.0016350868409062969,-125.0,1.793306125819072e-08
214,12.0,0.0006950088773010066,88.0,1.6139750869115232e-08
215,12.0,0.0006544578768625797,88.0,1.4525781466545595e-08
216,12.0,0.0006442319727284485,88.0,1.3073204740976507e-08
217,19.0,0.001073719954547414,81.0,1.1765877161451499e-08
218,12.0,0.0006534000253850536,88.0,1.0589289445306349e-08
219,12.0,0.0006738518336533161,88.0,9.530367606203072e-09
220,21.0,0.0018970815622196824,-20.0,8.577330845582765e-09
221,12.0,0.000688309146426036,88.0,7.719592076682602e-09
222,12.0,0.000662568077132164,88.0,6.947630026843399e-09
223,12.0,0.0010627888159433496,88.0,6.252861339817173e-09
224,12.0,0.0007031190771158435,88.0,5.6275695214935695e-09
225,13.0,0.0007048821644275449,87.0,5.064805463916855e-09
226,16.0,0.0008462817377221654,84.0,4.5583306018670555e-09
227,12.0,0.0006495212337540579,88.0,4.102503226022236e-09
228,12.0,0.0006502264686787385,88.0,3.6922500612490694e-09
229,12.0,0.0006477581464423565,88.0,3.323023634038691e-09
230,12.0,0.0006622154596698238,88.0,2.9907170073784073e-09
231,12.0,0.0006474055294347636,88.0,2.691649569896981e-09
232,14.0,0.0009199787723446207,86.0,2.42248177073634e-09
233,12.0,0.0006569261990989617,88.0,2.1802293304062914e-09
234,12.0,0.0006597471383429365,88.0,1.9622063973656623e-09
235,14.0,0.0008494552944284806,86.0,1.765982915458153e-09
236,14.0,0.0012278137546672951,86.0,1.5893846239123377e-09
237,12.0,0.001022590432967263,88.0,1.4304504247775185e-09
238,12.0,0.0007129923642423819,88.0,1.2874039612142951e-09
239,14.0,0.0007898629551164049,86.0,1.1586678283492802e-09
240,12.0,0.0011445960503806418,88.0,1.0428067298562382e-09
241,14.0,0.0008603864334872924,86.0,9.38527477956086e-10
242,12.0,0.0006731465987286356,88.0,8.446789934168919e-10
243,12.0,0.0006646837814514583,88.0,7.602096729897312e-10
244,12.0,0.0006615102251998906,88.0,6.841958111181157e-10
245,15.0,0.0008561550243939564,85.0,6.15770545664418e-10
246,24.0,0.0012383922762637667,-23.0,5.541949121834477e-10
