episode,length,time,reward,delta
0,289.0,0.01737099051979385,-1377.0,99.99967622553199
1,128.0,0.006910243006132077,-127.0,49.99983811276599
2,87.0,0.005080511365576967,-185.0,24.999919056382993
3,236.0,0.013743968038852472,-829.0,12.499959528191496
4,74.0,0.010749188539648458,-172.0,6.249979764095755
5,63.0,0.004274075392913801,-62.0,3.1249898820478705
6,26.0,0.001729235684251762,74.0,1.5624949410239282
7,139.0,0.009536889950140903,-534.0,0.781247470511957
8,26.0,0.0013579295718955109,74.0,0.3906237352559714
9,44.0,0.002513809378797305,-43.0,0.19531186762797859
10,42.0,0.0025141619958048977,-239.0,0.09765593381398219
11,22.0,0.0011699845026669209,-21.0,0.04882796690698399
12,17.0,0.0009125738074544643,83.0,0.0244139834534991
13,42.0,0.003020167951945041,-239.0,0.012206991726756655
14,28.0,0.0022648615008620254,-126.0,0.006103495863371222
15,32.0,0.001739108970923553,-31.0,0.0030517479316785057
16,24.0,0.00128035374564206,76.0,0.0015258739658321474
17,26.0,0.00135687171950849,74.0,0.0007629369829231791
18,22.0,0.001391428223996627,-21.0,0.00038146849145448414
19,29.0,0.0018974341792272753,71.0,0.00019073424572013664
20,17.0,0.0009693452070678177,83.0,9.53671228529629e-05
21,14.0,0.0008050255032685527,86.0,4.768356141937602e-05
22,21.0,0.0018004643970925827,79.0,2.3841780702582582e-05
23,24.0,0.003246900933845609,76.0,1.1920890344185864e-05
24,25.0,0.0015620950412085222,-24.0,5.9604451649875045e-06
25,20.0,0.0010652571372702369,80.0,2.9802225895991796e-06
26,26.0,0.0013917808410042198,-25.0,1.4901113019050172e-06
27,18.0,0.0009950862763616897,82.0,7.450556580579359e-07
28,22.0,0.0015486955799133284,78.0,3.725278219235406e-07
29,20.0,0.0010825353892869316,80.0,1.8626390385634295e-07
30,18.0,0.0009763975549503812,82.0,9.313195903359883e-08
31,24.0,0.0012553179112728685,76.0,4.656597241137206e-08
32,17.0,0.0018205635883532523,83.0,2.3282993311113387e-08
33,20.0,0.001404475067374733,80.0,1.1641489550129336e-08
34,17.0,0.0009041109897225397,83.0,5.8207518804920255e-09
35,26.0,0.0013547560151891958,74.0,2.910368834818655e-09
36,20.0,0.0011689266502799,80.0,1.45517731198197e-09
37,21.0,0.001119560215556703,-20.0,7.275815505636274e-10
38,21.0,0.001100166259220714,79.0,3.637836698544561e-10
39,23.0,0.0015462272581316938,77.0,1.8188472949987045e-10
40,18.0,0.0010278796939928725,82.0,9.093525932257762e-11
41,14.0,0.0007940943642097409,86.0,4.546052423393121e-11
42,14.0,0.0012771801893904922,86.0,2.2723156689608004e-11
43,48.0,0.004497634819017549,-146.0,1.1354472917446401e-11
44,18.0,0.0016068774498307903,82.0,5.6701310313655995e-12
45,21.0,0.0015049710236780811,79.0,2.8279600883251987e-12
46,18.0,0.0009830972853706044,82.0,1.4068746168049984e-12
47,20.0,0.001095934850127378,80.0,6.963318810448982e-13
48,20.0,0.0014058855372240942,80.0,3.552713678800501e-13
49,14.0,0.0007708216162427561,86.0,1.8474111129762605e-13
50,22.0,0.0013276044760459627,78.0,9.947598300641403e-14
51,29.0,0.0016054669799814292,71.0,4.263256414560601e-14
52,22.0,0.0019735995360861125,78.0,1.4210854715202004e-14
53,16.0,0.0009411358155375638,84.0,1.4210854715202004e-14
54,16.0,0.0008967060248323833,84.0,1.4210854715202004e-14
55,21.0,0.0011040450503969623,-119.0,1.4210854715202004e-14
56,20.0,0.0012232297285663662,80.0,1.4210854715202004e-14
57,16.0,0.0008815434766802355,84.0,1.4210854715202004e-14
58,18.0,0.0010853563289856538,82.0,1.4210854715202004e-14
59,20.0,0.0011601112155403825,80.0,1.4210854715202004e-14
60,21.0,0.003174614369072515,79.0,1.4210854715202004e-14
61,29.0,0.0017715497710923955,71.0,1.4210854715202004e-14
62,20.0,0.001388607284752652,80.0,1.4210854715202004e-14
63,17.0,0.0014263373454923567,83.0,1.4210854715202004e-14
64,34.0,0.003031451708466193,-33.0,1.4210854715202004e-14
65,14.0,0.0010243535202789644,86.0,1.4210854715202004e-14
66,23.0,0.0014147009715088643,-22.0,1.4210854715202004e-14
67,26.0,0.0016220399970734434,74.0,1.4210854715202004e-14
68,20.0,0.0019577317534640315,80.0,1.4210854715202004e-14
69,40.0,0.00512811471344321,-39.0,1.4210854715202004e-14
70,24.0,0.0016520124754606513,76.0,1.4210854715202004e-14
71,16.0,0.0009443093722438789,84.0,1.4210854715202004e-14
72,19.0,0.0010902929720941756,81.0,1.4210854715202004e-14
73,25.0,0.0016848058930918342,75.0,1.4210854715202004e-14
74,18.0,0.0013448827280626574,82.0,1.4210854715202004e-14
75,18.0,0.0009728713812364731,82.0,1.4210854715202004e-14
76,16.0,0.0008889484420251392,84.0,1.4210854715202004e-14
77,17.0,0.0009005848160086316,83.0,1.4210854715202004e-14
78,24.0,0.001250028650247259,76.0,1.4210854715202004e-14
79,27.0,0.0021382718573477177,73.0,1.4210854715202004e-14
80,17.0,0.0014672409629383765,-16.0,1.4210854715202004e-14
81,16.0,0.0009160999811683723,84.0,1.4210854715202004e-14
82,19.0,0.0010839458591362927,81.0,1.4210854715202004e-14
83,26.0,0.0014277478148869704,74.0,1.4210854715202004e-14
84,22.0,0.0011622269198596769,78.0,1.4210854715202004e-14
85,23.0,0.0012055988590873312,77.0,1.4210854715202004e-14
86,44.0,0.0027077489435214375,-142.0,1.4210854715202004e-14
87,18.0,0.0010758356593214558,82.0,1.4210854715202004e-14
88,18.0,0.000957356215621985,82.0,1.4210854715202004e-14
89,29.0,0.0019210595451113477,71.0,1.4210854715202004e-14
90,20.0,0.001355108632651536,80.0,1.4210854715202004e-14
91,14.0,0.0008022045640245778,86.0,1.4210854715202004e-14
92,18.0,0.0009658190328991623,82.0,1.4210854715202004e-14
93,19.0,0.001041984389303252,81.0,1.4210854715202004e-14
94,18.0,0.001025411372211238,82.0,1.4210854715202004e-14
95,28.0,0.0014806404237788229,72.0,1.4210854715202004e-14
96,14.0,0.0010053121809505683,86.0,1.4210854715202004e-14
97,20.0,0.0014559572064172244,80.0,1.4210854715202004e-14
98,31.0,0.001675285223427636,-30.0,1.4210854715202004e-14
99,28.0,0.0015955936928548908,72.0,1.4210854715202004e-14
100,18.0,0.00117492114623019,82.0,1.4210854715202004e-14
101,18.0,0.001946447996488132,-17.0,1.4210854715202004e-14
102,22.0,0.0011844418154396408,78.0,1.4210854715202004e-14
103,18.0,0.0009548878942950978,82.0,1.4210854715202004e-14
104,16.0,0.0009975545985980716,84.0,1.4210854715202004e-14
105,25.0,0.0013505246065506071,75.0,1.4210854715202004e-14
106,17.0,0.0010677254590518714,-16.0,1.4210854715202004e-14
107,17.0,0.001375560441374546,83.0,1.4210854715202004e-14
108,18.0,0.00100143338977432,82.0,1.4210854715202004e-14
109,18.0,0.0009845077552199655,82.0,1.4210854715202004e-14
110,39.0,0.002028607848842512,-38.0,1.4210854715202004e-14
111,26.0,0.0025645862829151156,74.0,1.4210854715202004e-14
112,26.0,0.001917180753480352,74.0,1.4210854715202004e-14
113,20.0,0.001183031346045027,80.0,1.4210854715202004e-14
114,24.0,0.001311736693878629,76.0,1.4210854715202004e-14
115,22.0,0.0011565850418264745,78.0,1.4210854715202004e-14
116,16.0,0.0009344360855720879,84.0,1.4210854715202004e-14
117,14.0,0.0012824694504161016,86.0,1.4210854715202004e-14
118,17.0,0.0011301387371531746,83.0,1.4210854715202004e-14
119,26.0,0.001347351049844292,74.0,1.4210854715202004e-14
120,25.0,0.001367450241559709,75.0,1.4210854715202004e-14
121,21.0,0.0019499741706567875,79.0,1.4210854715202004e-14
122,38.0,0.0023004758572824358,-37.0,1.4210854715202004e-14
123,20.0,0.0011185023631696822,80.0,1.4210854715202004e-14
124,28.0,0.0015867782585701207,72.0,1.4210854715202004e-14
125,15.0,0.0008656756945129018,85.0,1.4210854715202004e-14
126,24.0,0.0018191531185038912,76.0,1.4210854715202004e-14
127,18.0,0.0009947336593540967,82.0,1.4210854715202004e-14
128,34.0,0.0018321999623367446,-132.0,1.4210854715202004e-14
129,25.0,0.0013547560151891958,-24.0,1.4210854715202004e-14
130,19.0,0.0015381170583168569,81.0,1.4210854715202004e-14
131,24.0,0.001415053589425952,-122.0,1.4210854715202004e-14
132,20.0,0.0010596152592370345,80.0,1.4210854715202004e-14
133,16.0,0.000931615146328113,84.0,1.4210854715202004e-14
134,19.0,0.0011502379288685916,81.0,1.4210854715202004e-14
135,18.0,0.0010070752678075223,82.0,1.4210854715202004e-14
136,19.0,0.0010261166071359185,81.0,1.4210854715202004e-14
137,31.0,0.0023480792051486787,-30.0,1.4210854715202004e-14
138,23.0,0.0012168826156084833,-22.0,1.4210854715202004e-14
139,18.0,0.0009601771548659599,-17.0,1.4210854715202004e-14
140,17.0,0.0008970586422947235,83.0,1.4210854715202004e-14
141,19.0,0.0013025686416767712,81.0,1.4210854715202004e-14
142,18.0,0.001979241414119315,82.0,1.4210854715202004e-14
143,17.0,0.001019064259253355,-16.0,1.4210854715202004e-14
144,16.0,0.0009369044073537225,84.0,1.4210854715202004e-14
145,22.0,0.0011435381984483683,78.0,1.4210854715202004e-14
146,16.0,0.0008438134159405308,84.0,1.4210854715202004e-14
147,16.0,0.0009312625288657728,84.0,1.4210854715202004e-14
148,20.0,0.001410822180332616,80.0,1.4210854715202004e-14
149,16.0,0.0008917693812691141,84.0,1.4210854715202004e-14
150,18.0,0.0009548878942950978,82.0,1.4210854715202004e-14
151,20.0,0.0010737199550021614,80.0,1.4210854715202004e-14
152,18.0,0.0009488933987995551,82.0,1.4210854715202004e-14
153,15.0,0.0017239464232261525,85.0,1.4210854715202004e-14
154,18.0,0.00146829881487065,82.0,1.4210854715202004e-14
