steps,time,reward,delta,converged
1,0.015579341557440785,-1.8376068376068375,100.0,False
2,0.010243182583508315,-3.0774647887323945,100.0,False
3,0.03311676748626269,-2.3832335329341316,100.0,False
4,0.03500221267404413,-1.3952095808383234,100.0,False
5,0.033161197277422616,-1.0,100.0,False
6,0.03317107056409441,-1.1976047904191616,100.0,False
7,0.036904936114297016,-1.1976047904191616,100.0,False
8,0.03330330208518717,-1.0,100.0,False
9,0.03169219322717254,-1.1976047904191616,100.0,False
10,0.03244891014765017,-1.0,100.0,False
11,0.03902980851080429,-1.1976047904191616,100.0,False
12,0.025324628385533288,-0.7240437158469946,100.0,False
13,0.03251061819128154,-1.0,100.0,False
14,0.03333856382459999,-1.1976047904191616,100.0,False
15,0.03069675433289376,-1.0,100.0,False
16,0.031553967210129485,-1.0,100.0,False
17,0.05841636003651729,-1.0,100.0,False
18,0.03381177636310895,-1.0,100.0,False
19,0.033022971259924816,-1.0,100.0,False
20,0.03268410594773741,-1.0,100.0,False
21,0.03233148855633772,-1.0,100.0,False
22,0.030770098750508623,-1.0,100.0,False
23,0.03249333993926484,-1.0,100.0,False
24,0.030962627845838142,-1.0,100.0,False
25,0.03133534442758901,-1.0,100.0,False
26,0.05057838067523335,-1.0,100.0,False
27,0.03163753753142373,-1.0,100.0,False
28,0.03267000125151753,-1.0,100.0,False
29,0.03514431748271818,-1.0,100.0,False
30,0.03822689871276452,-0.7967806841046278,100.0,False
31,0.030998947437183233,-1.0,100.0,False
32,0.03157935566196102,-1.0,100.0,False
33,0.034012768275715644,-1.0,100.0,False
34,0.032935169529537234,-1.0,100.0,False
35,0.03526808618698851,-1.0,100.0,False
36,0.033270508668010734,-1.0,100.0,False
37,0.030407608072437142,-1.0,100.0,False
38,0.03053525556833847,-1.0,100.0,False
39,0.03486010786537008,-1.0,100.0,False
40,0.035995183246086526,-1.0,100.0,False
41,0.034623854213805316,-1.0,100.0,False
42,0.04116808036860675,-1.0,100.0,False
43,0.0292760588663441,-1.0,100.0,False
44,0.030841680080811784,-1.0,100.0,False
45,0.042978418052371126,-1.0,100.0,False
46,0.05321278520113992,-1.0,100.0,False
47,0.04513502601412256,-1.0,100.0,False
48,0.04131829537709564,-1.0,100.0,False
49,0.03328038195513727,-1.0,100.0,False
50,0.035481419708048634,-1.0,100.0,False
51,0.04443402264178076,-1.0,100.0,False
52,0.03733477671403307,-1.0,100.0,False
53,0.033028965755875106,-1.0,100.0,False
54,0.03308009527700051,-1.0,100.0,False
55,0.03335936825078534,-1.0,100.0,False
56,0.03928334041529524,-1.0,100.0,False
57,0.038165895903603086,-1.0,100.0,False
58,0.0427672002356303,-1.0,100.0,False
59,0.035655965316891525,-1.0,100.0,False
60,0.03602021908136521,-1.0,100.0,False
61,0.03600258821188618,-1.0,100.0,False
62,0.03446940779667784,-1.0,100.0,False
63,0.03424020649254089,-1.0,100.0,False
64,0.03385937971097519,-1.0,100.0,False
65,0.04035282896120407,-1.0,100.0,False
66,0.03660909012387492,-1.0,100.0,False
67,0.03301345059026062,-1.0,100.0,False
68,0.04017475717864727,-1.0,100.0,False
69,0.04626128596055423,-1.0,100.0,False
70,0.07122659722472235,-1.0,100.0,False
71,0.05855775961026666,-1.0,100.0,False
72,0.04309830796546521,-1.0,100.0,False
