episode,length,time,reward,delta
0,33.0,0.0037409178983409674,0.0,-6.813755897561071e-05
1,12.0,0.0007880998682878726,0.0,-0.00019824528783908828
2,5.0,0.0003244079994715321,0.0,-0.0002226762505094451
3,8.0,0.00045452381667132613,0.0,0.000128705322227617
4,44.0,0.002469732204730235,0.0,0.00011583479000485525
5,10.0,0.0007408491379408133,0.0,-0.0004552114546903051
6,22.0,0.00186111458830851,0.0,-8.647028174517315e-05
7,62.0,0.004945811522475196,0.0,-0.00020040862545850065
8,6.0,0.0008078464421714671,0.0,-0.00018036776291265055
9,60.0,0.004444742210239383,0.0,-0.00015257954121948483
10,25.0,0.0012796485109731748,0.0,-0.00010545054346313971
11,14.0,0.0007337967901150932,0.0,0.00010588702913516784
12,26.0,0.001332893736986307,0.0,-9.490548911682576e-05
13,18.0,0.0014637147889402513,0.0,-8.541494020514314e-05
14,10.0,0.0006981824336662612,0.0,-7.687344618462883e-05
15,54.0,0.004837557983506713,0.0,-0.00030170257653236324
16,21.0,0.0018427784839900596,0.0,-4.513674099409929e-05
17,22.0,0.0020451808662755866,0.0,-4.062306689468938e-05
18,18.0,0.0014330370759694233,0.0,-3.656076020522043e-05
19,5.0,0.000733796790143515,0.0,-3.290468418469842e-05
20,21.0,0.0014690040498237522,0.0,-0.000201762458995204
21,13.0,0.0010515050591948238,0.0,-0.00014964325793164932
22,32.0,0.0026823604913488452,0.0,0.00010678720969482499
23,14.0,0.0014312739889987824,0.0,1.3090964809760078e-05
24,33.0,0.0028350438215056784,0.0,-0.00012199133464466528
25,17.0,0.000898116494226997,0.0,-1.4411476308637261e-05
26,8.0,0.0005885184251326336,0.0,-1.2970328677773535e-05
27,20.0,0.0014926294149972819,0.0,-1.1673295809996203e-05
28,25.0,0.0022447623094308256,0.0,-8.760179398048127e-05
29,21.0,0.0014372684846648554,0.0,-9.974676010792295e-05
30,29.0,0.0016142824148062118,0.0,-1.2537957354323169e-05
31,36.0,0.004579089436106187,0.0,0.00010486866812339053
32,25.0,0.0020434177793049457,0.0,-0.00011361761848433633
33,9.0,0.0008607390508075241,0.0,0.00029132646921577117
34,24.0,0.001936222092524531,0.0,2.592699130065984e-05
35,47.0,0.0039055902198015247,0.0,1.6305063561933915e-05
36,31.0,0.0016262714060815142,0.0,-8.93284813947722e-05
37,25.0,0.0023279800136322137,0.0,1.607750006446594e-05
38,25.0,0.0021929275529828374,0.0,1.4674557205740534e-05
39,12.0,0.0008230089899825543,0.0,1.4469750058019302e-05
40,16.0,0.0009041109898646482,0.0,-5.182001518843065e-05
41,6.0,0.0003572014168184978,0.0,-4.6638013669587594e-05
42,25.0,0.001334304206551451,0.0,-6.283909821132902e-05
43,53.0,0.0027708674564053126,0.0,1.3207101485166513e-05
44,17.0,0.0009115159550674434,0.0,-2.1202566677089047e-05
45,29.0,0.0016379077799797415,0.0,1.188639133664984e-05
46,62.0,0.00532522783490208,0.0,-0.00032861805498118104
47,43.0,0.0025279140741929496,0.0,-0.000277559226596323
