steps,time,reward,delta,converged
1,0.015643517922740102,0.0,0,False
2,0.00991454317534135,0.0,0,False
3,0.003981050341508308,0.0,0,False
4,0.004890803209491423,0.0,0,False
5,0.017475012650152166,0.0,0,False
6,0.007262155162266026,0.0,0,False
7,0.02463208782990023,0.0,0,False
8,0.014173456020671438,0.0,0,False
9,0.018531806970145226,0.0,0,False
10,0.022815755650299252,0.0,0,False
11,0.004001854767466284,0.0,0,False
12,0.017339607572125715,0.0,0,False
13,0.020453219132264167,0.0,0,False
14,0.006989934536591136,0.0,0,False
15,0.02112671834856883,0.0,0,False
16,0.021165153644233214,0.0,0,False
17,0.0018011696319035764,0.0,0,False
18,0.003794163124325678,0.0,0,False
19,0.023920858552742175,0.0,0,False
20,0.009661363888767482,0.0,0,False
21,0.012649443657892334,0.0,0,False
22,0.0273821508602623,0.0,0,False
23,0.010407854904997293,0.0,0,False
24,0.010011865575165757,0.0,0,False
25,0.00923046543732653,0.0,0,False
26,0.007169416788428862,0.0,0,False
27,0.008825308055406822,0.0,0,False
28,0.029064841048807466,0.0,0,False
29,0.02785642125081722,0.0,0,False
30,0.0015338856496782682,0.0,0,False
31,0.0039976233588276955,0.0,0,False
32,0.005822770973281877,0.0,0,False
33,0.025699813289065787,0.0,0,False
34,0.0110323403040411,0.0,0,False
35,0.00574554776471814,0.0,0,False
36,0.025231537394120096,0.0,0,False
37,0.021595346860863174,0.0,0,False
38,0.013195295378750416,0.0,0,False
39,0.015398801453557098,0.0,0,False
40,0.011370852999107228,0.0,0,False
41,0.006563267493788771,0.0,0,False
42,0.0027980189955769674,0.0,0,False
43,0.0023886302047912977,0.0,0,False
44,0.0018801559274379542,0.0,0,False
45,0.0024101398656739548,0.0,0,False
46,0.008327059682301297,0.0,0,False
47,0.0023995613439637964,0.0,0,False
48,0.005194054165599482,0.0,0,False
49,0.020191224411064468,0.0,0,False
50,0.0076056045007817374,0.0,0,False
51,0.019099168351885965,0.0,0,False
52,0.027774966633614895,0.0,0,False
53,0.007019554397402317,0.0,0,False
54,0.027254150747467065,0.0,0,False
55,0.006355575850534478,0.0,0,False
56,0.015603319540105076,0.0,0,False
57,0.01690870912068476,0.0,0,False
58,0.0040487528804078465,0.0,0,False
59,0.0070156756061123815,0.0,0,False
60,0.012297531501872072,0.0,0,False
61,0.025665256784805024,0.0,0,False
62,0.009456845802105818,0.0,0,False
63,0.009200140341704355,0.0,0,False
64,0.009949452297064454,0.0,0,False
65,0.015483782244700706,0.0,0,False
66,0.005307949582856963,0.0,0,False
67,0.0023018863267907363,0.0,0,False
68,0.008788635846713078,0.0,0,False
69,0.00950303868046376,0.0,0,False
70,0.017303640598242964,0.0,0,False
71,0.00438373940164638,0.0,0,False
72,0.01629092345206118,0.0,0,False
73,0.007538607196579505,0.0,0,False
74,0.01271714619690556,0.0,0,False
75,0.0013988331890004702,0.0,0,False
76,0.00882953946404541,0.0,0,False
77,0.0151780629669247,0.0,0,False
78,0.014180860985902655,0.0,0,False
79,0.00438973389725561,0.0,0,False
80,0.013236904230893742,0.0,0,False
81,0.0021509660834908573,0.0,0,False
82,0.001799759162281589,0.0,0,False
83,0.010680428148020837,0.0,0,False
84,0.01145653902506183,0.0,0,False
85,0.004887982270361135,0.0,0,False
86,0.0016978527364699403,0.0,0,False
87,0.0034059313771876987,0.0,0,False
88,0.026054193766753997,0.0,0,False
89,0.004179573932333369,0.0,0,False
90,0.02785501078130892,0.0,0,False
91,0.015666790670479713,0.0,0,False
92,0.001251791737104213,0.0,0,False
93,0.013235846378620408,0.0,0,False
94,0.024491040873726888,0.0,0,False
95,0.006413405102762226,0.0,0,False
96,0.02418814253508117,0.0,0,False
97,0.02373679227480352,0.0,0,False
98,0.0201601940806313,0.0,0,False
99,0.01860585662223002,0.0,0,False
100,0.003584003159403437,0.0,0,False
101,0.009874344792820011,0.0,0,False
102,0.007814353996195678,0.0,0,False
103,0.014355759211639452,0.0,0,False
104,0.014258436811928732,0.0,0,False
105,0.0061669255466085815,0.0,0,False
106,0.026865213765518092,0.0,0,False
107,0.01715518867672472,0.0,0,False
108,0.009693804688708951,0.0,0,False
109,0.01241883188436077,0.0,0,False
110,0.011615922085638886,0.0,0,False
111,0.01834245143129465,0.0,0,False
112,0.005824886677601171,0.0,0,False
113,0.027006965956502427,0.0,0,False
114,0.014956619245594993,0.0,0,False
115,0.00809750576092938,0.0,0,False
116,0.006621096745789146,0.0,0,False
117,0.02437397189987678,0.0,0,False
118,0.00386786015906182,0.0,0,False
119,0.022380978407454677,0.0,0,False
120,0.0067438075977861445,0.0,0,False
121,0.006712777267466663,0.0,0,False
122,0.0019372799447410216,0.0,0,False
123,0.004318152566952449,0.0,0,False
124,0.0034810388813184545,0.0,0,False
125,0.002802250404215556,0.0,0,False
126,0.010063347714208248,0.0,0,False
127,0.007370056083800591,0.0,0,False
128,0.02539092045481084,0.0,0,False
129,0.0030166417777763854,0.0,0,False
130,0.009643733019288447,0.0,0,False
131,0.017528610493513952,0.0,0,False
132,0.02049306489755054,0.0,0,False
133,0.008382067995171383,0.0,0,False
134,0.017796599710550254,0.0,0,False
135,0.006806573493463475,0.0,0,False
136,0.006152115616146148,0.0,0,False
137,0.015901633852649866,0.0,0,False
138,0.003887254115511496,0.0,0,False
139,0.017771916493188655,0.0,0,False
140,0.017792015684449325,0.0,0,False
141,0.005087211096110877,0.0,0,False
142,0.01649896771255044,0.0,0,False
143,0.028532388788903518,0.0,0,False
144,0.012251691241203844,0.0,0,False
145,0.026856045713316234,0.0,0,False
146,0.007521681561797777,0.0,0,False
147,0.0216108620261366,0.0,0,False
148,0.01644184369524737,0.0,0,False
149,0.00312419008184861,0.0,0,False
150,0.013981279542804259,0.0,0,False
151,0.0022592196224877625,0.0,0,False
152,0.006768843432496396,0.0,0,False
153,0.017000742259597246,0.0,0,False
154,0.005718748843037247,0.0,0,False
155,0.010786565982584762,0.0,0,False
156,0.01773171811055363,0.0,0,False
157,0.006259311302983406,0.0,0,False
158,0.01702930426824878,0.0,0,False
159,0.0032370276469464443,0.0,0,False
160,0.014998228097624633,0.0,0,False
161,0.004821337583507557,0.0,0,False
162,0.0076736596572573035,0.0,0,False
163,0.03224544991337552,0.0,0,False
164,0.029469293196143553,0.0,0,False
165,0.009916306262311991,0.0,0,False
166,0.011306324016572944,0.0,0,False
167,0.013790866151794035,0.0,0,False
168,0.0028135341606230213,0.0,0,False
169,0.00991912720144228,0.0,0,False
170,0.002784619534736521,0.0,0,False
171,0.0025691703089023576,0.0,0,False
172,0.012557763136328504,0.0,0,False
173,0.0054930737128415785,0.0,0,False
174,0.006742397128277844,0.0,0,False
175,0.012162479041307961,0.0,0,False
176,0.00654598924165839,0.0,0,False
177,0.010603557556805754,0.0,0,False
178,0.011845828624473143,0.0,0,False
179,0.018201051857772654,0.0,0,False
180,0.028719628623321114,0.0,0,False
181,0.02537998931563834,0.0,0,False
182,0.020843213966486474,0.0,0,False
183,0.005687718512604079,0.0,0,False
184,0.009087302776720207,0.0,0,False
185,0.011124726060302237,0.0,0,False
186,0.006662705598046159,0.0,0,False
187,0.003069887003675831,0.0,0,False
188,0.010897287843363301,0.0,0,False
189,0.007579863431260492,0.0,0,False
