episode,length,time,reward,delta
0,418.0,0.022158476833965324,0.0,0.0
1,121.0,0.007007212788721517,0.0,0.0
2,453.0,0.023103491441133883,0.0,0.0
3,20.0,0.0012316925460709172,0.0,0.0
4,193.0,0.009666653149679405,0.0,0.0
5,120.0,0.006871807710695066,0.0,0.0
6,154.0,0.007823874665518815,0.0,0.0
7,101.0,0.005713812199473978,0.0,0.0
8,238.0,0.012249928154233203,0.0,0.0
9,429.0,0.026033389340682334,0.0,0.0
10,106.0,0.005956765581913714,0.0,0.0
11,452.0,0.027591605590487234,0.0,0.0
12,33.0,0.00212910380514586,0.0,0.0
13,78.0,0.003924631558902547,0.0,0.0
14,56.0,0.003048024725558207,0.0,0.0
15,121.0,0.006641548554398469,0.0,0.0
16,35.0,0.0017585029274869157,0.0,0.0
17,54.0,0.0028068344304301718,0.0,0.0
18,220.0,0.012561994544967092,0.0,0.0
19,279.0,0.01424891614237822,0.0,0.0
20,94.0,0.004838263218289285,0.0,0.0
21,74.0,0.0037705377590100397,0.0,0.0
22,35.0,0.0018667564665975078,0.0,0.0
23,500.0,0.026684321043831005,0.0,0.0
24,33.0,0.0017345249450499978,0.0,0.0
25,69.0,0.0034316724465952575,0.0,0.0
26,144.0,0.007481130561927785,0.0,0.0
27,53.0,0.0030667134471968893,0.0,0.0
28,179.0,0.018966936830338454,0.0,0.0
29,139.0,0.010884946234455128,0.0,0.0
30,95.0,0.005274803547990814,0.0,0.0
31,84.0,0.004520202331832479,0.0,0.0
32,283.0,0.01516607397570624,0.0,0.0
33,84.0,0.004310042367023925,0.0,0.0
34,500.0,0.03891697094627489,0.0,0.0
35,95.0,0.007297064283875443,0.0,0.0
36,89.0,0.00516866571342689,0.0,0.0
37,200.0,0.015023616549797225,0.0,0.0
38,451.0,0.036490963297865164,0.0,0.0
39,499.0,0.031582529218894706,0.0,0.0
40,47.0,0.005331927565293881,0.0,0.0
41,113.0,0.011563734711899087,0.0,0.0
42,387.0,0.023991734648461716,0.0,0.0
43,31.0,0.0036541740203119843,0.0,0.0
44,183.0,0.015190757193067839,0.0,0.0
45,129.0,0.015860025000392852,0.0,0.0
46,101.0,0.009160294576531669,0.0,0.0
47,189.0,0.012956573405062954,0.0,0.0
48,98.0,0.005438065400085179,0.0,0.0
49,56.0,0.0034475402292173385,0.0,0.0
50,102.0,0.010854621139060328,0.0,0.0
51,43.0,0.006001195372846269,0.0,0.0
52,255.0,0.01752614217161863,0.0,0.0
53,155.0,0.015182294375563288,0.0,0.0
54,150.0,0.02157136887831257,0.0,0.0
55,181.0,0.030624820385583007,0.0,0.0
56,22.0,0.005556544843102529,0.0,0.0
57,195.0,0.019169339212567138,0.0,0.0
58,151.0,0.012953047231349046,0.0,0.0
59,71.0,0.005957470816383648,0.0,0.0
60,78.0,0.007258628988211058,0.0,0.0
61,86.0,0.008180370847640006,0.0,0.0
62,68.0,0.004130912732534853,0.0,0.0
63,205.0,0.018687311239546034,0.0,0.0
64,77.0,0.009906432975412827,0.0,0.0
65,49.0,0.0036125651681686577,0.0,0.0
66,196.0,0.01431943962029436,0.0,0.0
67,140.0,0.014564156089591052,0.0,0.0
68,263.0,0.020539257775681108,0.0,0.0
69,224.0,0.03481779377875682,0.0,0.0
70,249.0,0.022529430329086608,0.0,0.0
71,55.0,0.003585766246487765,0.0,0.0
72,160.0,0.016848058929326726,0.0,0.0
73,295.0,0.028259462928417634,0.0,0.0
74,75.0,0.0043950231581675325,0.0,0.0
75,95.0,0.005109073374342188,0.0,0.0
76,115.0,0.006122848372797307,0.0,0.0
77,28.0,0.0016534229450826388,0.0,0.0
78,105.0,0.005601327251724797,0.0,0.0
79,48.0,0.0034912647856799595,0.0,0.0
80,176.0,0.02197934719947625,0.0,0.0
81,106.0,0.01086625751304382,0.0,0.0
82,225.0,0.015113181367041761,0.0,0.0
83,139.0,0.014869522750132091,0.0,0.0
84,345.0,0.02442263309990267,0.0,0.0
85,179.0,0.015248586445068213,0.0,0.0
86,81.0,0.007029427684301481,0.0,0.0
87,178.0,0.015904454791780154,0.0,0.0
88,132.0,0.010827822217379435,0.0,0.0
89,294.0,0.017208433902624165,0.0,0.0
90,86.0,0.005285382069814659,0.0,0.0
91,59.0,0.0032215124817867036,0.0,0.0
92,87.0,0.004997998896442368,0.0,0.0
93,138.0,0.011139535990878358,0.0,0.0
94,70.0,0.03162413807103803,0.0,0.0
95,52.0,0.003642537646328492,0.0,0.0
96,120.0,0.006776953632652294,0.0,0.0
97,92.0,0.004965205479038559,0.0,0.0
98,105.0,0.009418057888979092,0.0,0.0
99,192.0,0.015098371436579328,0.0,0.0
100,79.0,0.008147930047698537,0.0,0.0
101,124.0,0.007132039344924124,0.0,0.0
102,185.0,0.011552098337915595,0.0,0.0
103,139.0,0.012916375022768989,0.0,0.0
104,60.0,0.006781537658753223,0.0,0.0
105,287.0,0.018951421665178714,0.0,0.0
106,185.0,0.013670623621464983,0.0,0.0
