step,reward,mean,median,std,max,min
0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.030303030303030304
1,0.03125,0.030776515151515152,0.030776515151515152,0.00047348484848484806,0.03125,0.030303030303030304
2,0.0,0.020517676767676768,0.030303030303030304,0.014513338298702839,0.03125,0.0
3,0.0,0.015388257575757576,0.015151515151515152,0.015391899335973219,0.03125,0.0
4,0.0,0.01231060606060606,0.0,0.015080325179844232,0.03125,0.0
5,0.015625,0.01286300505050505,0.0078125,0.0138216941615374,0.03125,0.0
6,0.0125,0.012811147186147186,0.0125,0.012797032719515681,0.03125,0.0
7,0.0,0.011209753787878788,0.00625,0.01269821902210833,0.03125,0.0
8,0.0,0.009964225589225589,0.0,0.01247955949280249,0.03125,0.0
9,0.012195121951219513,0.010187315225424981,0.006097560975609756,0.011858051504904727,0.03125,0.0
10,0.0,0.009261195659477256,0.0,0.011679354646232364,0.03125,0.0
11,0.0,0.008489429354520817,0.0,0.011471351419829502,0.03125,0.0
12,0.022222222222222223,0.009545798036651695,0.0,0.011612942211205075,0.03125,0.0
13,0.011494252873563218,0.009684973382145376,0.005747126436781609,0.011201756392212499,0.03125,0.0
14,0.0,0.00903930849000235,0.0,0.011088301071866402,0.03125,0.0
15,0.0125,0.009255601709377205,0.005747126436781609,0.010768832839277178,0.03125,0.0
16,0.02702702702702703,0.01030097966923896,0.011494252873563218,0.011253051541701184,0.03125,0.0
17,0.0,0.009728703020947907,0.005747126436781609,0.01118765451793967,0.03125,0.0
18,0.0072992700729927005,0.009600838128950262,0.0072992700729927005,0.010902767756513821,0.03125,0.0
19,0.009708737864077669,0.009606233115706634,0.008504003968535186,0.01062672953107462,0.03125,0.0
20,0.0,0.009148793443530126,0.0072992700729927005,0.010570473371114527,0.03125,0.0
21,0.010101010101010102,0.009192076018870126,0.008504003968535186,0.01032934600422908,0.03125,0.0
22,0.015384615384615385,0.00946131686085905,0.009708737864077669,0.01018092593067451,0.03125,0.0
23,0.016666666666666666,0.009761539769434368,0.009904873982543885,0.010070031176059206,0.03125,0.0
24,0.007751937984496124,0.009681155698036839,0.009708737864077669,0.009874430877056094,0.03125,0.0
25,0.0,0.009308803555804653,0.008730337924286896,0.009860039017769098,0.03125,0.0
26,0.007633587786259542,0.009246758527302982,0.007751937984496124,0.009680893772432912,0.03125,0.0
27,0.0,0.008916517151327876,0.007692762885377832,0.009660081512702163,0.03125,0.0
28,0.015384615384615385,0.009139555021441238,0.007751937984496124,0.009565156882105153,0.03125,0.0
29,0.01020408163265306,0.009175039241814965,0.008730337924286896,0.009406327661399597,0.03125,0.0
30,0.0,0.008879070234014482,0.007751937984496124,0.009394294459312318,0.03125,0.0
31,0.0136986301369863,0.00902968148098235,0.008730337924286896,0.009284291332958187,0.03125,0.0
32,0.007692307692307693,0.008989155002537665,0.007751937984496124,0.00914541194354981,0.03125,0.0
33,0.0,0.008724768090698321,0.007722122838401908,0.009137029959097046,0.03125,0.0
34,0.0196078431372549,0.009035713092028509,0.007751937984496124,0.009186259995669015,0.03125,0.0
35,0.018518518518518517,0.009299124353875456,0.008730337924286896,0.009190852586788005,0.03125,0.0
36,0.012195121951219513,0.009377394559209079,0.009708737864077669,0.009077956517213749,0.03125,0.0
37,0.05,0.010446410491861471,0.009904873982543885,0.011069058056615809,0.05,0.0
38,0.027777777777777776,0.010890804524833684,0.010101010101010102,0.011264407405517941,0.05,0.0
39,0.03225806451612903,0.011424986024616066,0.010152545866831581,0.011612206829721505,0.05,0.0
40,0.0,0.011146327828893722,0.010101010101010102,0.011604331127853999,0.05,0.0
41,0.0,0.01088093907106292,0.009904873982543885,0.011590598665556923,0.05,0.0
42,0.011235955056179775,0.010889195256763313,0.010101010101010102,0.011455156406882635,0.05,0.0
43,0.021739130434782608,0.011135784692627387,0.010152545866831581,0.011439099387563767,0.05,0.0
44,0.008403361344537815,0.011075064173780952,0.010101010101010102,0.011318452970777408,0.05,0.0
45,0.004608294930875576,0.010934482233717792,0.009904873982543885,0.011234401735006104,0.05,0.0
46,0.010309278350515464,0.010921180023436892,0.010101010101010102,0.011114610425790646,0.05,0.0
47,0.015873015873015872,0.011024343270303119,0.010152545866831581,0.011020940656617073,0.05,0.0
48,0.0,0.010799356672949994,0.010101010101010102,0.011018713392967259,0.05,0.0
49,0.012658227848101266,0.01083653409645302,0.010152545866831581,0.01091107372441992,0.05,0.0
50,0.0,0.010624053035738254,0.010101010101010102,0.010907547669201129,0.05,0.0
51,0.015625,0.010720225092743287,0.010152545866831581,0.010823969948446574,0.05,0.0
52,0.009345794392523364,0.010694292438022156,0.010101010101010102,0.010723001498494927,0.05,0.0
53,0.0,0.01049624998546619,0.009904873982543885,0.01072064148430801,0.05,0.0
54,0.02631578947368421,0.010783877976161064,0.010101010101010102,0.010830969061283257,0.05,0.0
55,0.00909090909090909,0.010753646388924423,0.009904873982543885,0.010736169638910548,0.05,0.0
56,0.0,0.010564985925960836,0.009708737864077669,0.010734818802855326,0.05,0.0
57,0.004975124378109453,0.010468609002722019,0.009527266128300516,0.010666721451256708,0.05,0.0
58,0.01818181818181818,0.01059934136168975,0.009708737864077669,0.010622700451370998,0.05,0.0
59,0.02702702702702703,0.010873136122778704,0.009904873982543885,0.010741690718830875,0.05,0.0
60,0.017543859649122806,0.010982492246161395,0.010101010101010102,0.010686903458831117,0.05,0.0
61,0.012048192771084338,0.010999680964305314,0.010152545866831581,0.010601218461180523,0.05,0.0
