params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.4820138684419675,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",3.561892638583032,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",3.5252913060419218,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",3.635946874663901,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",3.538941830472126,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",3.5367213987626656,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",3.5787093145646764,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",3.586309982422023,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",3.713982161086193,100,0.00028775665728191305,0.0,0.0,0.008695652173913044,0.001238484754070847
"{""discount_factor"": 0.9}",4.084955402715508,100,0.0011624267173589004,0.0,0.0,0.008695652173913044,0.0022998024657394016
