steps,time,reward,delta,converged
1,0.03004758571705679,-4.161676646706587,0,False
2,0.005257172678739153,-0.9789473684210527,100.0,False
3,0.010473089122115198,-1.5,100.0,False
4,0.01190260002431387,-0.9907834101382489,100.0,False
5,0.008064712343639258,-3.2868217054263567,100.0,False
6,0.008771004977006669,-2.7455621301775146,100.0,False
7,0.005222616174251016,-3.684931506849315,100.0,False
8,0.002299770622357755,1.7297297297297298,100.0,False
9,0.0030392092903639423,0.6833333333333333,100.0,False
10,0.005673613816725265,-3.7314814814814814,100.0,False
11,0.003727871054707066,-2.6166666666666667,100.0,False
12,0.0030511982822645223,-0.9591836734693877,100.0,False
13,0.005007519565879193,-2.0,100.0,False
14,0.0018547674749243015,2.0606060606060606,100.0,False
15,0.005044897009156557,-2.197530864197531,100.0,False
16,0.0022137319792818744,1.8857142857142857,100.0,False
17,0.0012077145634066255,3.391304347826087,100.0,False
18,0.002522272196074482,-0.96,100.0,False
19,0.0011403646417420532,4.05,100.0,False
20,0.0015917149016786425,3.8095238095238093,100.0,False
21,0.0016611805276625091,2.607142857142857,100.0,False
22,0.0010553838505984459,3.8095238095238093,100.0,False
23,0.0014101169458626828,4.9411764705882355,100.0,False
24,0.0028861733430858294,1.7297297297297298,100.0,False
25,0.0018752192841020587,2.740740740740741,100.0,False
26,0.0022888394832989434,-0.9534883720930233,100.0,False
27,0.0009866234590845124,-0.8947368421052632,100.0,False
28,0.0011463591376923432,3.590909090909091,100.0,False
29,0.0017955277539840608,1.9705882352941178,100.0,False
30,0.0010504472070351767,3.8095238095238093,100.0,False
31,0.0010007281548496394,4.05,100.0,False
32,0.001622745231998124,3.2083333333333335,100.0,False
33,0.0018889713624048454,-0.9230769230769231,100.0,False
34,0.002041302075213025,-0.9375,100.0,False
35,0.0009245627984455496,4.9411764705882355,100.0,False
36,0.001398480571424443,-4.592592592592593,100.0,False
37,0.0008540393200746621,-0.875,100.0,False
38,0.0008847170333865506,4.9411764705882355,100.0,False
39,0.000953830041908077,4.315789473684211,100.0,False
40,0.0010081331201945432,4.315789473684211,100.0,False
41,0.0018829768664545554,-3.6216216216216215,100.0,False
42,0.000961587624715321,4.315789473684211,100.0,False
43,0.002041654692220618,-0.9,100.0,False
44,0.0018498308318157797,-0.9428571428571428,100.0,False
45,0.0011463591372375959,4.9411764705882355,100.0,False
46,0.0009721661463117925,4.611111111111111,100.0,False
47,0.0009929705720423954,4.315789473684211,100.0,False
48,0.000997201980680984,4.05,100.0,False
49,0.0008473395896544389,4.9411764705882355,100.0,False
50,0.0010201221116403758,4.611111111111111,100.0,False
51,0.0008871853551681852,4.9411764705882355,100.0,False
52,0.00162098214514117,2.3666666666666667,100.0,False
53,0.001304331728078978,3.2083333333333335,100.0,False
54,0.0008596811990173592,4.9411764705882355,100.0,False
55,0.0017436929970244819,3.8095238095238093,100.0,False
56,0.0024404649611824425,2.15625,100.0,False
57,0.0012874060935246234,-0.92,100.0,False
58,0.0018977867966896156,-3.5526315789473686,100.0,False
59,0.0010536207632867445,3.8095238095238093,100.0,False
60,0.0008550971724616829,4.9411764705882355,100.0,False
61,0.001493687267156929,-4.233333333333333,100.0,False
62,0.0011643426241789712,4.315789473684211,100.0,False
63,0.001261665023776004,-0.92,100.0,False
64,0.0011862049027513422,3.391304347826087,100.0,False
65,0.0020183819447083806,4.315789473684211,100.0,False
66,0.0033371709860148258,-2.979591836734694,100.0,False
67,0.001049036737640563,4.315789473684211,100.0,False
68,0.0016580069714109413,2.0606060606060606,100.0,False
69,0.001501797466971766,2.607142857142857,100.0,False
70,0.001079714450497704,3.8095238095238093,100.0,False
71,0.000981334198058903,4.9411764705882355,100.0,False
72,0.00106314143340569,4.315789473684211,100.0,False
73,0.002177412387482036,-0.9512195121951219,100.0,False
74,0.0020166188578514266,3.391304347826087,100.0,False
75,0.0012334556331552449,4.611111111111111,100.0,False
76,0.0015913622842163022,2.8846153846153846,100.0,False
77,0.0008635599897388602,4.9411764705882355,100.0,False
78,0.0009682873551355442,4.315789473684211,100.0,False
79,0.00075777477286465,5.733333333333333,100.0,False
80,0.0015800785276951501,2.2580645161290325,100.0,False
81,0.000955593128765031,4.315789473684211,100.0,False
82,0.0013589874238277844,3.04,100.0,False
83,0.000996849363673391,4.315789473684211,100.0,False
84,0.001089587737169495,4.05,100.0,False
85,0.000888595824562799,-0.875,100.0,False
86,0.001520133571830229,4.05,100.0,False
87,0.0011477696066322096,4.315789473684211,100.0,False
88,0.0012334556327004975,4.315789473684211,100.0,False
89,0.0007739951724943239,5.733333333333333,100.0,False
90,0.0010511524415051099,3.8095238095238093,100.0,False
91,0.0007556590680906083,5.733333333333333,100.0,False
92,0.0009933231895047356,4.05,100.0,False
93,0.0010039017115559545,4.315789473684211,100.0,False
94,0.0008910641463444335,4.9411764705882355,100.0,False
95,0.0008928272336561349,4.9411764705882355,100.0,False
