steps,time,reward,delta,converged
1,0.0024619746220650995,0.0,0,False
2,0.002430944291745618,0.0,0,False
3,0.003047672108095867,0.0,0,False
4,0.011968539476356455,0.0,0,False
5,0.0013938965455508878,0.0,0,False
6,0.0038364772110526246,0.0,0,False
7,0.009921948140572567,0.0,0,False
8,0.0011054555200189498,0.0,0,False
9,0.01120159665151732,0.0,0,False
10,0.0051468034350818925,0.0,0,False
11,0.015511286401078905,0.0,0,False
12,0.012480187310302426,0.0,0,False
13,0.006041041138132641,0.0,0,False
14,0.005201106513368359,0.0,0,False
15,0.004072378245609798,0.0,0,False
16,0.004276191097460469,0.0,0,False
17,0.009828504532151783,0.0,0,False
18,0.0031601570558450476,0.0,0,False
19,0.0035434521596471313,0.0,0,False
20,0.0028212917434302653,0.0,0,False
21,0.008666982846989413,0.0,0,False
22,0.003883727941683901,0.0,0,False
23,0.0037814688982962252,0.0,0,False
24,0.022388735990034547,0.0,0,False
25,0.016702075329703803,0.0,0,False
26,0.01841156443992986,0.0,0,False
27,0.009305925558919625,0.0,0,False
28,0.011044329295373245,0.0,0,False
29,0.009353176289096155,0.0,0,False
30,0.003976818932642345,0.0,0,False
31,0.0009111633376051032,0.0,0,False
32,0.026685378896218026,0.0,0,False
33,0.022773441563231245,0.0,0,False
34,0.014878690802106576,0.0,0,False
35,0.003755022593850299,0.0,0,False
36,0.016725700694905754,0.0,0,False
37,0.008854222681520696,0.0,0,False
38,0.006554099441473227,0.0,0,False
39,0.0016195716757465561,0.0,0,False
40,0.012272848284510474,0.0,0,False
41,0.012980198770264906,0.0,0,False
42,0.009012547889824418,0.0,0,False
43,0.008872911403159378,0.0,0,False
44,0.014731649350324005,0.0,0,False
45,0.02147475171318547,0.0,0,False
46,0.0046228139924551215,0.0,0,False
47,0.014943572401989513,0.0,0,False
48,0.0051309356524598115,0.0,0,False
49,0.005889063042786802,0.0,0,False
50,0.0044528524103952805,0.0,0,False
51,0.004360114036444429,0.0,0,False
52,0.0024090820136279945,0.0,0,False
53,0.0056316523473469715,0.0,0,False
54,0.009969904105673777,0.0,0,False
55,0.02195995324291289,0.0,0,False
56,0.004471188514571622,0.0,0,False
57,0.019929582307213423,0.0,0,False
58,0.007928249413225785,0.0,0,False
59,0.012517917371042131,0.0,0,False
60,0.017205260346145224,0.0,0,False
61,0.005480379486698439,0.0,0,False
62,0.014283120029176644,0.0,0,False
63,0.006218055068302419,0.0,0,False
64,0.01299536131818968,0.0,0,False
65,0.004155595949896451,0.0,0,False
66,0.01594606364392348,0.0,0,False
67,0.009772438367008363,0.0,0,False
68,0.002099483944448366,0.0,0,False
69,0.010129992401061827,0.0,0,False
70,0.004166879706417603,0.0,0,False
71,0.01077775054795893,0.0,0,False
72,0.0010225904331946367,0.0,0,False
73,0.028251000110913083,0.0,0,False
74,0.009862355801487865,0.0,0,False
75,0.016107915026395858,0.0,0,False
76,0.003122426995105343,0.0,0,False
77,0.02630419949696261,0.0,0,False
78,0.004888334887709789,0.0,0,False
79,0.013199879404965031,0.0,0,False
80,0.012064451406558874,0.0,0,False
